Evolution und intelligent Design und mehr und nun auch die Stufen dazwischen teils;;
-;1;
-;2;
-;3;
-;4;
-;5;
-;6;
-;7;
Protesen oder Austausch von Organen oder sowohl mechanische oder auch biologische Komponenten austauschen;8;
-;9;
-;10;
-;11;
-;12;
-;13;
-;14;
-;15;
Evolution wie evolutionaere Algorithmen die es ueberall statt nur bei Lebewesen gibt;16;
-;17;
-;18;
-;19;
-;20;
-;21;
-;22;
-;23;
Gen Editing Editieren DNS DNA z.B. Genschere;24;
-;25;
-;26;
-;27;
-;28;
-;29;
-;30;
-;31;
Design Entwurf;32;
-;33;
-;34;
-;35;
-;36;
-;37;
-;38;
-;39;
-;40;
-;41;
-;42;
-;43;
-;44;
-;45;
-;46;
-;47;
Redesign Genbau Genetik Architektur Erbanlagen Konstruktion DNS DNA etc, der intelligente Part Teil vom intelligent Design, wenn Design etwas anderes ist und nicht intelligent sein muesste;48;
-;49;
-;50;
-;51;
-;52;
-;53;
-;54;
-;55;
Screening d.h. u.a. Visualisierung des Verhaeltnisses Gene zu Koerper zu Erbanlagen zu Lebewesen zu Geist Gehirn Nervensystem zu DNS DNA etc usw;56;
-;57;
-;58;
-;59;
-;60;
-;61;
-;62;
-;63;
Modelliereren von Modellen wie mit Ton und Lehm Skulpturen. Das Model Supermodel Spitzen Top Supermodel auf dem Laufsteg neue Art Kategorie von Mensch, entweder Q oder R oder S vom Q oder R oder S Kontinuum;64;
