Zahlenarten also Mengen von einer Zahlenart, nur Zahlen – nichts sonstiges anderes, nicht Mengen obwohl naja eigentlich Zahlenart - egal, nicht Rechnung nein, obwohl naja nein, Zahlen Werte Betraege ja;
Nicht hier die Position eins, aber Position Null hier davor ist die Null als Zahl Wert Betrag.;1
Festgelegte bestimmte gewisse gemeinte Zahl;2
(die Möglichkeit) dass Zahlen ineinander verhakt werden kann als sozusagen Vorbedingung für was auch immer weiteres, wie z.B. das Inkrement.;3
Das Übereinander Untereinander;4
Die Zahl eins. Nur diese Zahl. Oh ja! Nur diese Zahl! D.h. wenn das hier an Position Fünf ist, dann ist die Zahl Null an Position Null vor Position 1.;5
Das Inkrement: Die Idee, dass nach einer Zahl eine weitere folgt und damit der Iterationsschritt hier für den Spezialfall, dass es eine Zahl sein muss was sich Inkrement nennt, ein Wert, etwas wertiges, ein Betrag;6
Wo es mit Zahlen weiter wo hin geht. Weiter machen mit Zahlen. Die Entscheidungs-Möglichkeit von Zahlen. Nur allein die theoretische noch nicht praktische Addition von Zahlen möglicherweise. Das heißt die Bedeutung aller Fragen, welche Fragen auch immer bis gewusst ist, dass man addieren könnte kann, aber noch nicht das Addieren selbst als Möglichkeit vorhanden zunächst. Die Idee, dass eine andere Zahl aus einer Zahl irgendwie etwas sonstiges irgendetwas anderes machen könnte wie direkt bei der dreizehn naemlich negativ und nicht nur positive Zahlen wie dies der Fall bei den ganzen statt natuerlichen Zahlen ist oder auch rationale Zahlen die zwei durch sich dividierende ganze Zahlen sind mit Notation mit einem Komma wenn nach Komma Zahlen dann mit Wiederholung von Ziffern was sich Periode nennt bei Regelmaessigkeit;7
?;8
?;9
?;10
Wozu die Zahl passt.;11
Natürliche Zahlen also wie ganze Zahlen aber noch erst ein mal ohne die Idee und das Wissen, dass es negative Zahlen geben könnte oder gibt, d.h. überhaupt noch gar noch nicht die P-adische Zahlen gehören entweder zur zwölf oder dreizehn;12
Negative und positive Zahlen in beiden (immer) vorhandenen auftretbaren Möglichkeiten hier als Dreizehn und zusammen mit der Zwoelf die ganzen Zahlen, was die natuerlichen Zahlen waeren oder sind mit dem Zusatz auch negativ und nicht nur positiv sein zu koennen duerfen zu sein was also die ganze Zahlen sind;13
Zahlen, welche die Fähigkeit besitzen zum Verrechnen von Zahlen, für uns nicht intuitiv, dass dies nötig sei. Es ist sozusagen die Richtungs-Festmachung, was wo hin passen gehören könnte kann wird werden dürfte praktisch wie theoretisch. Wohin die Zahl sozusagen praktisch dazu hin gehört. Eigentlich sogar zunächst nur die Addition.;14
?;15
?;16
?;17
Rationale gebrochene Zahlen, ganze Zahl geteilt durch ganze Zahl, wobei eine oder beide der beiden je durch die andere dividierten Zahlen auch eine natuerliche nicht negative ganze Zahl sein darf, um die rationalen Zahlen zu bilden dessen gegenteilige Zahlenart als die irrationalen Zahlen bekannt sind, welche wir nach dem Komma als Zahlenart ohne Periode von Zahlen hinter dem Komma kennen, also ohne Regelmaessigkeiten hinter dem Komma, so dass jede Ziffer neu gefunden entdeckt berrechnet werden muesste;18
Überhaupt noch gar nicht die Perfektoiden Zahlen, die müssten irgendwo noch sehr viel später kommen;19
?;20
