SithSith andUnd jediJedi asAls oneEine socialSoziale societyGesellschafts classSchicht antagonisticAntagonistisch toZu hierarchyHierarchie asAls flashBlitz electricityElektrizitaet shattering structureStruktur complicatedKomplitziert insteadAnstelle ofVon complexKomplex cristallineKristalline organizationOrganisations wayWege pathesPfade netNetzwerk webNetz galaxyGalaxie oneEine galaxyGalaxie topSpitzen infrastructureInfrastruktur societyGesellschaft organizedOrganisiert buildiungBauen waysWege streetsStrassen pathsPfade peopleVolk humansMenschen, galaxyGalaxie renamingUmbenennung designationBezeichnung warKrieg ofDer socialSoziale classesSchichten notNicht anymoreMehr pentagramPentagramme warsKriege starKrieg warsDer-Sterne galaxyGalaxie insideInnerhalb clusterCluster localLokale groupGruppe galaxiesGalaxien (fifeFuenf pentagramPentagramm E E vsGegenueber T T twentyZwanzig icosigramIkosigramm);
?;1
?;2
?;3
AingAing-TiiTii MöncheMoncs andUnd MatukaiMatukai;4
GroguGrogu, YodaYoda, YaddleYaddle;5
DarkDunkle AcolytesAcoloytes ofVon CountCount DookuDoku;6
JediJedi;7
MatukaiMatukai andUnd greyGraue JediJedi;8
?;9
WindowFenster andUnd JensaaraiJensaarai;10
?;11
InquisitorsInquisitoren andUnd MortisMortis-creaturesWesen;12
SithsSiths andUnd WhillsWhills;13
